source,title,author,detail_link
project_gutenberg,Sailing Alone Around the World,Joshua Slocum,https://www.gutenberg.org/ebooks/6317
project_gutenberg,"Alice in Wonderland, Retold in Words of One Syllable",Lewis Carroll and Mrs. J. C. Gorham,https://www.gutenberg.org/ebooks/19551
project_gutenberg,"The Life and Most Surprising Adventures of Robinson Crusoe, of York, Mariner (1801)",Daniel Defoe,https://www.gutenberg.org/ebooks/11866
project_gutenberg,The Little Lame Prince and His Travelling Cloak,Dinah Maria Mulock Craik,https://www.gutenberg.org/ebooks/45975
project_gutenberg,Riders of the Purple Sage,Zane Grey,https://www.gutenberg.org/ebooks/1300
project_gutenberg,La isla del tesoro (Spanish),Robert Louis Stevenson,https://www.gutenberg.org/ebooks/45438
project_gutenberg,Alive in the jungle :  A story for the young,Eleanor Stredder,https://www.gutenberg.org/ebooks/43595
project_gutenberg,The Surprising Adventures of Baron Munchausen,Rudolf Erich Raspe,https://www.gutenberg.org/ebooks/3154
project_gutenberg,The Odyssey of Homer,Homer,https://www.gutenberg.org/ebooks/1728
project_gutenberg,"Beasts, men and gods",Ferdynand Antoni Ossendowski,https://www.gutenberg.org/ebooks/2067
project_gutenberg,The Man from Snowy River,A. B. Paterson,https://www.gutenberg.org/ebooks/213
project_gutenberg,The Legends and Myths of Hawaii: The fables and folk-lore of a strange people,King of Hawaii David Kalakaua,https://www.gutenberg.org/ebooks/56597
project_gutenberg,"The Little White Bird; Or, Adventures in Kensington Gardens",J. M. Barrie,https://www.gutenberg.org/ebooks/1376
project_gutenberg,Tales of Unrest,Joseph Conrad,https://www.gutenberg.org/ebooks/1202
project_gutenberg,"De la terre à la lune, trajet direct en 97 heures 20 minutes (French)",Jules Verne,https://www.gutenberg.org/ebooks/38674
project_gutenberg,Robinson Crusoe in Words of One Syllable,Daniel Defoe and Lucy Aikin,https://www.gutenberg.org/ebooks/22445
project_gutenberg,"The Worst Journey in the World: Antarctic, 1910-1913",Apsley Cherry-Garrard,https://www.gutenberg.org/ebooks/14363
project_gutenberg,On the Trail of the Space Pirates,Carey Rockwell,https://www.gutenberg.org/ebooks/21092
project_gutenberg,Brood of the Dark Moon,Charles Willard Diffin,https://www.gutenberg.org/ebooks/32398
project_gutenberg,Sir Gawain and the Green Knight: A Middle-English Arthurian Romance Retold in Modern Prose,Jessie L. Weston,https://www.gutenberg.org/ebooks/66084
project_gutenberg,The Adventures of Reddy Fox,Thornton W. Burgess,https://www.gutenberg.org/ebooks/1825
project_gutenberg,"Lucy Maud Montgomery Short Stories, 1909 to 1922",L. M. Montgomery,https://www.gutenberg.org/ebooks/24878
project_gutenberg,"Unknown Mexico, Volume 1 (of 2)",Carl Lumholtz,https://www.gutenberg.org/ebooks/16426
project_gutenberg,Afloat and Ashore: A Sea Tale,James Fenimore Cooper,https://www.gutenberg.org/ebooks/8647
